step_count,timestamp,status,num_scheduled_reqs,num_req_of_512,num_req_of_768,num_req_of_1024,step_worker_time_consumption
2,2024-05-19 05:48:51.032178,RequestStatus.EMPTY,0,0,0,0,None
3,2024-05-19 05:48:52.950219,RequestStatus.PREPARE,1,0,1,0,1.8409397602081299
4,2024-05-19 05:48:53.585602,RequestStatus.DENOISING,1,0,1,0,0.580519437789917
5,2024-05-19 05:48:53.670967,RequestStatus.DENOISING,1,0,1,0,0.1457068920135498
6,2024-05-19 05:48:53.829625,RequestStatus.DENOISING,1,0,1,0,0.15984892845153809
7,2024-05-19 05:48:54.019733,RequestStatus.DENOISING,1,0,1,0,0.12412285804748535
8,2024-05-19 05:48:54.101966,RequestStatus.DENOISING,1,0,1,0,0.141340970993042
9,2024-05-19 05:48:54.265138,RequestStatus.DENOISING,1,0,1,0,0.16437911987304688
10,2024-05-19 05:48:54.463996,RequestStatus.DENOISING,1,0,1,0,0.15641212463378906
11,2024-05-19 05:48:54.558983,RequestStatus.DENOISING,1,0,1,0,0.13128042221069336
12,2024-05-19 05:48:54.727042,RequestStatus.DENOISING,1,0,1,0,0.16618013381958008
13,2024-05-19 05:48:56.780692,RequestStatus.DENOISING,1,0,1,0,0.27167606353759766
14,2024-05-19 05:48:57.198592,RequestStatus.DENOISING,2,1,1,0,0.29082560539245605
15,2024-05-19 05:48:57.293274,RequestStatus.DENOISING,2,1,1,0,0.2016921043395996
16,2024-05-19 05:48:59.381432,RequestStatus.DENOISING,2,1,1,0,0.41670680046081543
17,2024-05-19 05:48:59.771736,RequestStatus.DENOISING,3,1,2,0,0.335737943649292
18,2024-05-19 05:48:59.995059,RequestStatus.DENOISING,3,1,2,0,0.2646217346191406
19,2024-05-19 05:49:00.241119,RequestStatus.DENOISING,3,1,2,0,0.24302983283996582
20,2024-05-19 05:49:00.492088,RequestStatus.DENOISING,3,1,2,0,0.24666786193847656
21,2024-05-19 05:49:00.850153,RequestStatus.DENOISING,3,1,2,0,0.25391244888305664
22,2024-05-19 05:49:01.205339,RequestStatus.DENOISING,3,1,2,0,0.4288778305053711
23,2024-05-19 05:49:01.492050,RequestStatus.DENOISING,3,1,2,0,0.3075993061065674
24,2024-05-19 05:49:01.741414,RequestStatus.DENOISING,3,1,2,0,0.24783039093017578
25,2024-05-19 05:49:03.556973,RequestStatus.DENOISING,3,1,2,0,0.40936970710754395
26,2024-05-19 05:49:04.180109,RequestStatus.DENOISING,4,1,3,0,0.5847389698028564
27,2024-05-19 05:49:04.520055,RequestStatus.DENOISING,4,1,3,0,0.36754822731018066
28,2024-05-19 05:49:04.884505,RequestStatus.DENOISING,4,1,3,0,0.3222615718841553
29,2024-05-19 05:49:05.176452,RequestStatus.DENOISING,4,1,3,0,0.3216433525085449
30,2024-05-19 05:49:05.529064,RequestStatus.DENOISING,4,1,3,0,0.3474299907684326
31,2024-05-19 05:49:05.956252,RequestStatus.DENOISING,4,1,3,0,0.3163459300994873
32,2024-05-19 05:49:06.198833,RequestStatus.DENOISING,4,1,3,0,0.3467698097229004
33,2024-05-19 05:49:06.591793,RequestStatus.DENOISING,4,1,3,0,0.33036041259765625
34,2024-05-19 05:49:07.085621,RequestStatus.DENOISING,4,1,3,0,0.49509119987487793
35,2024-05-19 05:49:07.404984,RequestStatus.DENOISING,4,1,3,0,0.36455392837524414
36,2024-05-19 05:49:09.254211,RequestStatus.DENOISING,4,1,3,0,0.48748040199279785
37,2024-05-19 05:49:09.674260,RequestStatus.DENOISING,4,1,3,0,0.3862955570220947
38,2024-05-19 05:49:10.248538,RequestStatus.DENOISING,4,1,3,0,0.46871447563171387
39,2024-05-19 05:49:10.514930,RequestStatus.DENOISING,4,1,3,0,0.3959314823150635
40,2024-05-19 05:49:10.906351,RequestStatus.DENOISING,4,1,3,0,0.33209657669067383
41,2024-05-19 05:49:11.195103,RequestStatus.DENOISING,4,1,3,0,0.34419870376586914
42,2024-05-19 05:49:11.569351,RequestStatus.DENOISING,4,1,3,0,0.3430304527282715
43,2024-05-19 05:49:11.862853,RequestStatus.DENOISING,4,1,3,0,0.32141542434692383
44,2024-05-19 05:49:12.248367,RequestStatus.DENOISING,4,1,3,0,0.3403623104095459
45,2024-05-19 05:49:14.391995,RequestStatus.DENOISING,4,1,3,0,0.44878554344177246
46,2024-05-19 05:49:14.863885,RequestStatus.DENOISING,5,1,4,0,0.49915528297424316
47,2024-05-19 05:49:15.604210,RequestStatus.DENOISING,6,1,4,1,0.6526315212249756
48,2024-05-19 05:49:17.868913,RequestStatus.DENOISING,6,1,4,1,0.9053332805633545
49,2024-05-19 05:49:18.545080,RequestStatus.DENOISING,7,2,4,1,0.6974687576293945
50,2024-05-19 05:49:19.337139,RequestStatus.DENOISING,7,2,4,1,0.7908182144165039
51,2024-05-19 05:49:21.391547,RequestStatus.DENOISING,7,2,4,1,0.7291703224182129
52,2024-05-19 05:49:22.357005,RequestStatus.DENOISING,8,3,4,1,0.8913514614105225
53,2024-05-19 05:49:23.016241,RequestStatus.DENOISING,8,3,4,1,0.7027578353881836
54,2024-05-19 05:49:25.491895,RequestStatus.DENOISING,7,3,3,1,0.834306001663208
55,2024-05-19 05:49:26.152232,RequestStatus.DENOISING,8,3,4,1,0.693720817565918
56,2024-05-19 05:49:26.841857,RequestStatus.DENOISING,8,3,4,1,0.6957273483276367
57,2024-05-19 05:49:30.371100,RequestStatus.DENOISING,8,3,4,1,0.8933429718017578
58,2024-05-19 05:49:31.375656,RequestStatus.DENOISING,9,3,5,1,0.9893641471862793
59,2024-05-19 05:49:32.241280,RequestStatus.DENOISING,9,3,5,1,0.7482726573944092
60,2024-05-19 05:49:32.908059,RequestStatus.DENOISING,9,3,5,1,0.7744441032409668
61,2024-05-19 05:49:33.912955,RequestStatus.DENOISING,9,3,5,1,0.9084618091583252
62,2024-05-19 05:49:34.135685,RequestStatus.POSTPROCESSING,1,0,1,0,0.2942044734954834
63,2024-05-19 05:49:35.351093,RequestStatus.DENOISING,9,3,5,1,1.156611680984497
64,2024-05-19 05:49:37.614790,RequestStatus.DENOISING,9,3,5,1,0.8583216667175293
65,2024-05-19 05:49:37.643186,RequestStatus.POSTPROCESSING,1,1,0,0,0.13004541397094727
66,2024-05-19 05:49:38.538517,RequestStatus.DENOISING,8,2,5,1,0.8945784568786621
67,2024-05-19 05:49:39.431459,RequestStatus.DENOISING,8,2,5,1,0.8575801849365234
68,2024-05-19 05:49:40.171943,RequestStatus.DENOISING,8,2,5,1,0.7529966831207275
69,2024-05-19 05:49:41.868219,RequestStatus.POSTPROCESSING,1,0,1,0,0.20463800430297852
70,2024-05-19 05:49:43.088200,RequestStatus.DENOISING,7,2,4,1,1.126291036605835
71,2024-05-19 05:49:43.756753,RequestStatus.DENOISING,7,2,4,1,0.6548385620117188
72,2024-05-19 05:49:45.852062,RequestStatus.DENOISING,7,2,4,1,0.7426931858062744
73,2024-05-19 05:49:46.494258,RequestStatus.DENOISING,7,2,4,1,0.6400258541107178
74,2024-05-19 05:49:47.146159,RequestStatus.DENOISING,7,2,4,1,0.6430134773254395
75,2024-05-19 05:49:49.290060,RequestStatus.DENOISING,7,2,4,1,0.7269301414489746
76,2024-05-19 05:49:49.932908,RequestStatus.DENOISING,7,2,4,1,0.636500358581543
77,2024-05-19 05:49:52.115399,RequestStatus.DENOISING,7,2,4,1,0.7438361644744873
78,2024-05-19 05:49:52.765540,RequestStatus.DENOISING,7,2,4,1,0.6411163806915283
79,2024-05-19 05:49:52.968618,RequestStatus.POSTPROCESSING,1,0,1,0,0.18843436241149902
80,2024-05-19 05:49:55.561334,RequestStatus.DENOISING,6,2,3,1,1.2937748432159424
81,2024-05-19 05:49:56.015151,RequestStatus.DENOISING,6,2,3,1,0.5381646156311035
82,2024-05-19 05:49:56.703287,RequestStatus.DENOISING,6,2,3,1,0.5179049968719482
83,2024-05-19 05:49:58.699095,RequestStatus.DENOISING,6,2,3,1,0.8704173564910889
84,2024-05-19 05:49:59.317414,RequestStatus.DENOISING,6,2,3,1,0.5360527038574219
85,2024-05-19 05:49:59.798095,RequestStatus.DENOISING,6,2,3,1,0.5540351867675781
86,2024-05-19 05:50:00.530536,RequestStatus.DENOISING,6,2,3,1,0.728870153427124
87,2024-05-19 05:50:01.112555,RequestStatus.DENOISING,6,2,3,1,0.5216348171234131
88,2024-05-19 05:50:01.608081,RequestStatus.DENOISING,6,2,3,1,0.5426974296569824
89,2024-05-19 05:50:02.243971,RequestStatus.DENOISING,6,2,3,1,0.5370252132415771
90,2024-05-19 05:50:02.703342,RequestStatus.DENOISING,6,2,3,1,0.5503127574920654
91,2024-05-19 05:50:03.450626,RequestStatus.DENOISING,6,2,3,1,0.7020223140716553
92,2024-05-19 05:50:03.958026,RequestStatus.DENOISING,6,2,3,1,0.5459921360015869
93,2024-05-19 05:50:04.520193,RequestStatus.DENOISING,6,2,3,1,0.5547351837158203
94,2024-05-19 05:50:05.043072,RequestStatus.DENOISING,6,2,3,1,0.5231630802154541
