step_count,timestamp,status,num_scheduled_reqs,num_req_of_512,num_req_of_768,num_req_of_1024,step_worker_time_consumption
2,2024-05-19 02:22:52.155171,RequestStatus.EMPTY,0,0,0,0,None
3,2024-05-19 02:22:54.085809,RequestStatus.PREPARE,1,1,0,0,1.8640508651733398
4,2024-05-19 02:22:54.743672,RequestStatus.DENOISING,1,1,0,0,0.5895786285400391
5,2024-05-19 02:22:54.809664,RequestStatus.DENOISING,1,1,0,0,0.1354062557220459
6,2024-05-19 02:22:54.980206,RequestStatus.DENOISING,1,1,0,0,0.16182661056518555
7,2024-05-19 02:22:55.198909,RequestStatus.DENOISING,1,1,0,0,0.11226534843444824
8,2024-05-19 02:22:55.250866,RequestStatus.DENOISING,1,1,0,0,0.15600180625915527
9,2024-05-19 02:22:55.428771,RequestStatus.DENOISING,1,1,0,0,0.14951395988464355
10,2024-05-19 02:22:55.518307,RequestStatus.DENOISING,1,1,0,0,0.11301350593566895
11,2024-05-19 02:22:55.685819,RequestStatus.DENOISING,1,1,0,0,0.16240692138671875
12,2024-05-19 02:22:55.954226,RequestStatus.DENOISING,1,1,0,0,0.13425564765930176
13,2024-05-19 02:22:56.167191,RequestStatus.DENOISING,1,1,0,0,0.30223536491394043
14,2024-05-19 02:22:56.419234,RequestStatus.DENOISING,1,1,0,0,0.17375445365905762
15,2024-05-19 02:22:56.467000,RequestStatus.DENOISING,1,1,0,0,0.15536022186279297
16,2024-05-19 02:22:56.640077,RequestStatus.DENOISING,1,1,0,0,0.14777565002441406
17,2024-05-19 02:22:56.856789,RequestStatus.DENOISING,1,1,0,0,0.1250169277191162
18,2024-05-19 02:22:56.909186,RequestStatus.DENOISING,1,1,0,0,0.15394353866577148
19,2024-05-19 02:22:57.073936,RequestStatus.DENOISING,1,1,0,0,0.14087224006652832
20,2024-05-19 02:22:57.171526,RequestStatus.DENOISING,1,1,0,0,0.11004757881164551
21,2024-05-19 02:22:57.332651,RequestStatus.DENOISING,1,1,0,0,0.1462535858154297
22,2024-05-19 02:22:57.497440,RequestStatus.DENOISING,1,1,0,0,0.14426398277282715
23,2024-05-19 02:22:57.712530,RequestStatus.DENOISING,1,1,0,0,0.11739349365234375
24,2024-05-19 02:22:57.760054,RequestStatus.DENOISING,1,1,0,0,0.15791893005371094
25,2024-05-19 02:22:57.947933,RequestStatus.DENOISING,1,1,0,0,0.1429581642150879
26,2024-05-19 02:23:00.026131,RequestStatus.DENOISING,1,1,0,0,0.26648545265197754
27,2024-05-19 02:23:00.310238,RequestStatus.DENOISING,2,1,0,1,0.3544166088104248
28,2024-05-19 02:23:00.556809,RequestStatus.DENOISING,2,1,0,1,0.2425832748413086
29,2024-05-19 02:23:00.793441,RequestStatus.DENOISING,2,1,0,1,0.23682093620300293
30,2024-05-19 02:23:01.131143,RequestStatus.DENOISING,2,1,0,1,0.2352128028869629
31,2024-05-19 02:23:01.408306,RequestStatus.DENOISING,2,1,0,1,0.24140024185180664
32,2024-05-19 02:23:01.670032,RequestStatus.DENOISING,2,1,0,1,0.24470925331115723
