timestamp,utilization
2024-05-19 05:13:55.301351,0.0
2024-05-19 05:13:56.992982,0.0
2024-05-19 05:13:57.623909,2.6666666666666665
2024-05-19 05:13:57.818951,6.5
2024-05-19 05:13:58.013817,15.5
2024-05-19 05:13:58.219909,17.0
2024-05-19 05:13:58.430614,15.0
2024-05-19 05:13:58.652074,15.5
2024-05-19 05:13:58.903841,11.0
2024-05-19 05:13:59.135003,12.5
2024-05-19 05:13:59.351209,16.0
2024-05-19 05:13:59.563900,16.0
2024-05-19 05:13:59.764298,15.5
2024-05-19 05:13:59.961127,17.0
2024-05-19 05:14:00.153149,16.0
2024-05-19 05:14:00.360428,17.0
2024-05-19 05:14:00.574776,15.5
2024-05-19 05:14:00.802950,17.0
2024-05-19 05:14:01.012940,16.5
2024-05-19 05:14:01.220150,16.5
2024-05-19 05:14:01.430239,15.5
2024-05-19 05:14:01.768112,16.0
2024-05-19 05:14:01.951079,7.0
2024-05-19 05:14:02.166538,12.5
2024-05-19 05:14:02.360560,17.0
2024-05-19 05:14:02.568585,15.0
2024-05-19 05:14:02.768470,16.0
2024-05-19 05:14:02.990042,16.5
2024-05-19 05:14:03.206404,16.5
2024-05-19 05:14:03.423906,16.5
2024-05-19 05:14:03.649064,15.0
2024-05-19 05:14:03.861326,16.0
2024-05-19 05:14:04.060431,15.5
2024-05-19 05:14:04.262965,16.0
2024-05-19 05:14:06.297174,2.0
2024-05-19 05:14:06.504310,0.0
2024-05-19 05:14:06.707907,13.0
2024-05-19 05:14:06.911425,15.5
2024-05-19 05:14:07.097399,16.5
2024-05-19 05:14:07.295563,28.5
2024-05-19 05:14:07.654809,32.0
2024-05-19 05:14:09.399917,3.375
2024-05-19 05:14:09.851935,11.0
2024-05-19 05:14:10.049956,26.5
2024-05-19 05:14:10.248751,36.0
2024-05-19 05:14:10.851929,22.5
2024-05-19 05:14:11.057339,25.5
2024-05-19 05:14:11.259900,36.5
2024-05-19 05:14:11.486951,37.5
2024-05-19 05:14:11.707896,35.0
2024-05-19 05:14:11.931545,37.0
2024-05-19 05:14:13.973809,4.833333333333333
2024-05-19 05:14:14.404959,19.75
2024-05-19 05:14:14.618642,29.0
2024-05-19 05:14:14.827895,36.0
2024-05-19 05:14:15.263904,37.75
2024-05-19 05:14:15.473953,37.5
2024-05-19 05:14:15.676330,39.5
2024-05-19 05:14:15.881005,39.5
2024-05-19 05:14:16.420965,33.75
2024-05-19 05:14:16.649709,24.5
2024-05-19 05:14:16.861304,30.5
2024-05-19 05:14:17.057952,38.5
2024-05-19 05:14:17.477766,38.75
2024-05-19 05:14:17.691894,37.5
2024-05-19 05:14:17.895133,39.5
2024-05-19 05:14:20.037983,5.888888888888889
2024-05-19 05:14:20.432952,23.25
2024-05-19 05:14:20.915909,39.5
2024-05-19 05:14:21.329564,40.75
2024-05-19 05:14:21.761030,44.75
2024-05-19 05:14:22.321952,41.75
2024-05-19 05:14:22.658960,37.0
2024-05-19 05:14:24.652968,10.11111111111111
2024-05-19 05:14:25.490873,17.666666666666668
2024-05-19 05:14:25.927821,37.75
2024-05-19 05:14:26.355031,44.75
2024-05-19 05:14:26.809854,46.75
2024-05-19 05:14:29.089279,9.7
2024-05-19 05:14:29.519614,26.75
2024-05-19 05:14:30.200306,44.333333333333336
2024-05-19 05:14:30.635107,44.0
2024-05-19 05:14:31.407899,37.166666666666664
2024-05-19 05:14:32.037249,46.666666666666664
2024-05-19 05:14:32.479902,43.25
2024-05-19 05:14:33.119926,47.0
2024-05-19 05:14:35.287474,8.777777777777779
2024-05-19 05:14:35.747896,24.5
2024-05-19 05:14:36.401891,37.833333333333336
2024-05-19 05:14:36.664952,20.0
2024-05-19 05:14:38.878991,5.333333333333333
2024-05-19 05:14:39.344530,27.25
2024-05-19 05:14:39.571910,46.5
2024-05-19 05:14:40.174987,34.75
2024-05-19 05:14:40.619982,35.5
2024-05-19 05:14:40.836954,39.5
2024-05-19 05:14:42.917761,11.166666666666666
2024-05-19 05:14:43.370988,28.5
2024-05-19 05:14:43.772154,42.5
2024-05-19 05:14:44.187929,41.75
2024-05-19 05:14:44.401067,37.5
2024-05-19 05:14:45.248962,41.75
2024-05-19 05:14:46.194162,35.25
2024-05-19 05:14:46.873949,40.333333333333336
2024-05-19 05:14:47.550701,44.333333333333336
2024-05-19 05:14:47.988987,38.5
2024-05-19 05:14:48.533883,0.0
2024-05-19 05:14:49.479987,33.5
2024-05-19 05:14:50.089635,44.333333333333336
2024-05-19 05:14:50.804942,47.5
2024-05-19 05:14:52.915084,13.38888888888889
2024-05-19 05:14:53.569948,42.333333333333336
2024-05-19 05:14:53.784442,42.5
2024-05-19 05:14:54.701729,37.666666666666664
2024-05-19 05:14:55.311072,33.5
2024-05-19 05:14:55.975901,46.833333333333336
2024-05-19 05:14:56.635085,46.0
2024-05-19 05:14:57.298249,45.5
2024-05-19 05:14:58.104967,35.666666666666664
2024-05-19 05:15:00.186964,17.22222222222222
2024-05-19 05:15:00.982604,38.5
2024-05-19 05:15:01.215206,45.0
2024-05-19 05:15:02.403907,26.166666666666668
2024-05-19 05:15:02.828954,40.75
2024-05-19 05:15:03.703929,35.333333333333336
2024-05-19 05:15:04.170776,42.25
2024-05-19 05:15:04.611911,43.5
2024-05-19 05:15:06.743930,10.777777777777779
2024-05-19 05:15:07.238874,37.0
2024-05-19 05:15:07.529355,22.0
2024-05-19 05:15:07.961203,29.5
2024-05-19 05:15:08.402961,41.75
2024-05-19 05:15:08.843931,45.0
2024-05-19 05:15:09.423936,36.0
2024-05-19 05:15:09.905951,31.75
2024-05-19 05:15:10.131081,43.5
2024-05-19 05:15:10.773279,24.75
2024-05-19 05:15:10.997902,47.0
2024-05-19 05:15:11.434399,49.0
2024-05-19 05:15:11.662984,48.5
2024-05-19 05:15:11.873999,48.5
2024-05-19 05:15:13.854776,7.5
2024-05-19 05:15:14.311896,14.5
2024-05-19 05:15:14.543927,50.0
2024-05-19 05:15:14.775931,47.5
2024-05-19 05:15:15.340767,48.75
2024-05-19 05:15:15.539900,35.5
2024-05-19 05:15:15.770972,43.5
2024-05-19 05:15:16.206899,48.75
2024-05-19 05:15:16.425955,48.0
2024-05-19 05:15:16.643926,48.5
2024-05-19 05:15:17.092929,49.25
2024-05-19 05:15:17.308540,47.5
2024-05-19 05:15:17.532950,47.0
2024-05-19 05:15:17.967892,49.0
2024-05-19 05:15:18.305039,50.0
2024-05-19 05:15:18.550496,50.0
2024-05-19 05:15:19.492955,48.25
2024-05-19 05:15:20.682708,0.5
2024-05-19 05:15:20.904954,0.5
2024-05-19 05:15:21.243952,12.5
2024-05-19 05:15:21.482392,8.0
2024-05-19 05:15:21.675898,10.0
2024-05-19 05:15:21.873086,16.0
2024-05-19 05:15:22.073855,16.0
2024-05-19 05:15:22.307897,16.5
2024-05-19 05:15:22.503895,16.5
