256 num, 512 num, 768 num, avg unet time
8,1,2,9.188324547
3,8,1,13.30869942
20,9,0,16.0734354
11,4,3,16.89853959
19,1,1,9.266837645
4,14,0,18.10818357
13,3,0,7.011671114
1,9,2,17.03714838
48,3,0,17.12898574
35,6,0,17.13779564
8,6,2,15.34604182
16,1,4,17.69614911
45,2,0,14.64760213
24,2,3,18.41021032
16,7,0,12.60314579
2,2,0,3.603330326
46,1,1,17.29357948
44,2,0,14.52078824
16,3,2,13.97733769
4,8,0,10.38172483
29,0,1,10.73861279
6,5,2,13.60404587
18,1,1,9.095679283
1,0,1,4.010040569
4,4,3,14.94549718
5,1,5,17.72367926
17,3,1,11.02459412
4,1,5,17.32805514
17,3,2,14.28988295
20,4,2,16.28566117
16,1,0,5.590509367
3,2,3,12.05227294
6,10,1,16.59891305
3,2,4,15.25574875
1,10,2,18.66980138
1,4,0,5.350513363
24,4,0,11.16292114
30,0,0,8.128195667
2,2,2,8.807210541
13,1,2,10.55964484
17,5,2,16.66531534
28,5,1,17.16801476
7,6,3,18.56207604
11,7,0,11.10415721
15,5,1,13.10233898
3,4,3,14.64212523
5,3,1,7.987671232
53,0,0,14.47503328
27,3,0,10.79851356
35,4,0,14.45214424
8,7,2,16.71441622
27,5,0,13.40291071
6,6,2,14.92088995
29,1,1,12.06203527
0,5,4,18.020366
13,6,1,13.818957
0,9,0,10.50465064
19,8,0,14.71285295
9,7,0,10.63895893
31,7,0,17.32669978
15,2,0,6.422356033
36,1,2,17.63111463
11,0,1,6.183960915
8,0,5,17.35172944
18,5,2,16.9492044
8,3,1,8.951477385
9,6,2,15.76226425
0,0,4,11.55069714
6,5,0,7.526967239
30,1,0,9.306444931
44,2,0,14.495257
5,4,0,6.166385269
2,4,0,5.74098773
20,6,0,12.67568083
24,5,1,15.61183925
16,9,0,15.09663224
29,7,0,16.73139405
25,6,1,17.58929358
32,0,0,8.659351444
0,4,4,16.90507774
28,7,0,15.96725593
6,9,1,15.51472106
5,1,1,6.183141041
12,7,0,11.54230299
27,4,1,15.1576827
6,10,0,13.57773366
10,6,0,9.698233986
26,6,1,17.7687593
33,2,1,14.59147263
49,0,1,17.0260066
7,0,4,14.07070951
47,0,0,12.94669752
9,3,1,9.142201805
16,2,4,19.35147276
9,9,1,16.31614738
26,0,1,10.04654078
1,12,1,18.07964778
3,10,0,12.80293579
23,1,2,13.6651526
3,13,0,16.24955115
9,5,1,11.29624228
11,4,1,10.71806741
9,2,2,10.7209753
6,3,3,14.29780216
11,5,1,11.89539008
12,8,0,12.86191072
19,3,0,8.728457451
9,10,1,18.01338873
20,2,0,7.749731922
8,2,1,7.759713268
43,2,1,17.82763906
0,6,4,19.70515637
39,1,0,12.07196517
16,10,0,16.20086703
18,1,2,12.11403155
14,3,2,13.42381258
32,0,2,14.88452926
13,8,1,16.14093595
21,1,3,16.09313726
1,0,0,3.135690069
2,0,0,3.061046553
