512 num, 768 num, 1024 num, avg unet time
4,0,3,5.084287977218628
0,4,0,3.5711312770843504
0,3,2,4.8171727657318115
0,4,1,4.356449890136719
0,6,0,4.649388599395752
0,6,1,6.022654676437378
1,2,1,3.79205322265625
5,1,2,5.634426403045654
4,1,1,5.186519145965576
3,3,1,6.447727298736572
11,2,0,6.938011169433594
3,3,0,5.2053642749786375
1,1,0,3.0937066078186035
10,0,2,6.304512310028076
6,6,0,9.934870958328247
1,8,0,7.308320236206055
12,0,1,5.381182336807251
6,1,1,7.514697265625
0,1,3,5.010646677017212
8,3,0,5.538887929916382
4,5,0,7.846442842483521
9,1,1,7.769566440582276
5,2,0,3.99245343208313
1,1,3,5.339609432220459
8,1,2,6.734450006484986
3,2,2,5.410744857788086
1,7,0,6.322667503356934
12,0,0,4.2650786399841305
0,0,4,5.00750503540039
0,4,0,3.412199544906616
2,1,3,5.613753604888916
12,2,0,6.2963837623596195
0,4,1,4.917898416519165
6,1,0,3.730824518203735
8,0,2,5.207729291915894
7,4,0,5.254712200164795
11,2,0,7.152528095245361
4,5,0,6.519837522506714
9,3,1,8.305214786529541
1,6,0,4.918562412261963
1,0,1,2.8272929191589355
2,2,1,4.111588048934936
0,2,2,4.258096837997437
1,5,0,4.323310327529907
9,3,1,9.549140644073486
3,2,1,4.33512134552002
3,4,0,5.02131667137146
7,2,1,6.400949430465698
12,3,0,9.33324761390686
5,4,1,6.41191873550415
6,0,1,6.319641351699829
2,3,2,7.39911527633667
10,4,0,14.266870880126953
1,1,4,7.29628005027771
12,3,0,14.53581600189209
8,2,1,5.615386009216309
5,6,0,8.718568658828735
5,4,1,7.627752876281738
6,0,3,5.845308589935303
8,0,0,3.680730104446411
0,1,3,5.115546464920044
3,0,0,2.397640609741211
10,0,2,5.853589773178101
6,0,1,6.6655384540557865
3,3,0,4.68236289024353
0,1,3,5.0295275211334225
1,8,0,6.212147998809814
12,3,0,13.55581455230713
2,1,0,3.2533027648925783
3,1,1,3.855085039138794
1,8,0,8.04420018196106
3,0,1,3.295029878616333
2,2,1,4.5718639373779295
3,0,3,5.030431509017944
4,0,0,4.2653709888458256
7,1,1,6.546132612228393
1,4,1,5.067295074462891
2,4,2,6.519961214065551
8,0,3,6.578640174865723
5,4,0,4.933473062515259
11,0,2,7.435588788986206
1,7,0,6.897952127456665
6,5,0,5.664870834350586
7,4,0,5.347000360488892
8,3,1,10.780890417098998
12,0,0,5.8497459411621096
2,6,0,6.210421228408814
5,0,1,5.111355590820312
6,3,0,4.322029113769531
11,4,0,10.103798961639404
5,0,3,6.141537284851074
7,0,1,4.489559698104858
1,4,1,5.097360420227051
5,2,0,4.118225479125977
5,0,1,7.139120149612427
9,1,0,5.076913547515869
4,6,0,7.800108480453491
8,1,2,6.8646245956420895
2,3,2,7.149168920516968
0,2,2,4.512859201431274
2,2,2,5.260137891769409
2,4,2,6.604982995986939
10,2,0,4.955030298233032
1,2,2,5.102637529373169
11,0,1,5.711576843261719
0,7,0,6.174465179443359
6,2,1,5.057892560958862
7,0,2,5.010368156433105
5,3,1,5.837660551071167
11,3,0,12.941895055770875
10,0,0,5.972232675552368
1,6,1,6.733212566375732
11,2,1,7.032273197174073
9,3,0,6.761637258529663
7,2,2,7.2453343868255615
3,1,3,6.703231859207153
0,7,1,6.543975019454956
3,2,0,3.766892337799072
3,1,2,4.885394525527954
0,5,0,3.9796730041503907
6,1,0,4.172398519515991
1,4,0,3.8147209167480467
5,1,0,4.591258382797241
7,1,1,6.185605525970459
0,2,0,2.5375505924224853
3,0,0,2.5886690616607666
0,1,4,5.957446432113647
4,2,1,4.6684857368469235
7,4,0,5.32791690826416
3,3,0,4.589466381072998
1,8,0,9.184606027603149
2,2,3,6.58394341468811
2,0,2,3.9591245651245117
9,0,0,6.08122615814209
8,5,0,13.554466438293456
11,2,1,7.609187507629395
2,0,3,5.290950012207031
0,2,0,2.504971742630005
4,5,0,5.166620302200317
2,2,2,5.165856409072876
7,0,3,6.811113357543945
7,4,1,6.61953182220459
1,2,3,5.8982807159423825
2,1,0,3.244172954559326
3,1,3,5.7081084728240965
6,0,2,4.668931865692139
8,1,0,5.486132526397705
6,4,0,4.997545766830444
3,6,0,5.741332721710205
1,1,2,4.235249423980713
3,1,2,4.805349636077881
0,2,0,2.49241189956665
0,2,0,2.549678659439087
2,4,0,5.225462007522583
3,7,0,8.82172646522522
1,1,2,4.452869939804077
8,0,3,6.64228515625
1,3,1,4.808522510528564
8,2,0,4.343720531463623
4,1,1,5.33819169998169
6,4,1,6.766985511779785
6,3,1,6.768527507781982
0,7,0,4.9964875221252445
7,0,3,6.15723671913147
11,3,0,9.981015586853028
6,1,1,4.990311479568481
1,2,0,3.0267349243164063
6,5,0,7.744421052932739
2,1,3,5.705322504043579
4,1,0,3.4173795223236083
3,2,2,5.9609802722930905
4,3,0,4.680258798599243
6,3,1,8.119105625152589
2,0,4,5.861285591125489
8,3,1,8.983226251602172
4,0,3,5.344579839706421
1,2,3,5.92077603340149
5,1,1,6.170190095901489
6,0,0,3.206588554382324
3,2,1,4.881119632720948
8,4,0,6.107361555099487
6,0,0,3.7278661727905273
6,4,0,6.130409002304077
3,0,4,6.885080051422119
1,2,3,5.881987285614014
6,6,0,11.917176628112793
11,2,0,6.451931476593018
1,3,1,4.449033594131469
2,3,1,4.69517297744751
2,2,0,3.500580072402954
7,0,1,5.60371413230896
4,4,1,7.062969493865967
6,6,0,9.368305826187134
8,0,0,4.324375295639038
1,0,0,2.0304604530334474
7,2,2,6.542719888687134
12,0,1,5.322493171691894
0,0,5,7.070822906494141
0,4,2,5.6342058181762695
5,5,0,5.9610716819763185
9,1,2,7.074785041809082
6,1,2,5.653990268707275
2,2,3,6.266583871841431
3,2,3,6.70300326347351
3,1,3,5.856432008743286
3,1,3,6.60548734664917
5,1,0,3.2077600955963135
9,1,1,7.097782707214355
0,6,1,6.196323013305664
0,0,2,3.323490762710571
12,0,2,6.716264104843139
5,1,0,4.230869770050049
4,0,3,5.524249839782715
1,1,1,3.718988466262817
8,0,1,7.278306770324707
1,7,0,6.001663398742676
2,1,2,4.5642157077789305
0,2,1,3.5725950717926027
1,2,3,5.972460460662842
8,2,0,4.5199134349823
0,6,1,5.8170064926147464
