step_count,timestamp,status,num_scheduled_reqs,num_req_of_256,num_req_of_512,num_req_of_768,step_worker_time_consumption
2,2024-05-19 04:26:48.038192,RequestStatus.EMPTY,0,0,0,0,None
3,2024-05-19 04:26:48.569563,RequestStatus.PREPARE,1,1,0,0,0.41336965560913086
4,2024-05-19 04:26:49.029442,RequestStatus.DENOISING,1,1,0,0,0.5381040573120117
5,2024-05-19 04:26:49.076629,RequestStatus.DENOISING,1,1,0,0,0.04573321342468262
6,2024-05-19 04:26:49.197897,RequestStatus.DENOISING,1,1,0,0,0.0723104476928711
7,2024-05-19 04:26:49.228664,RequestStatus.DENOISING,1,1,0,0,0.07330489158630371
8,2024-05-19 04:26:49.274139,RequestStatus.DENOISING,1,1,0,0,0.04278159141540527
9,2024-05-19 04:26:49.501986,RequestStatus.DENOISING,1,1,0,0,0.06449270248413086
10,2024-05-19 04:26:49.526408,RequestStatus.DENOISING,1,1,0,0,0.18128180503845215
11,2024-05-19 04:26:49.574194,RequestStatus.DENOISING,1,1,0,0,0.0438838005065918
12,2024-05-19 04:26:49.698620,RequestStatus.DENOISING,1,1,0,0,0.08733940124511719
13,2024-05-19 04:26:49.777268,RequestStatus.DENOISING,1,1,0,0,0.1088109016418457
14,2024-05-19 04:26:49.900718,RequestStatus.DENOISING,1,1,0,0,0.06649208068847656
15,2024-05-19 04:26:49.917892,RequestStatus.DENOISING,1,1,0,0,0.07206368446350098
16,2024-05-19 04:26:49.966004,RequestStatus.DENOISING,1,1,0,0,0.04536724090576172
17,2024-05-19 04:26:50.112053,RequestStatus.DENOISING,1,1,0,0,0.04936790466308594
18,2024-05-19 04:26:50.121052,RequestStatus.DENOISING,1,1,0,0,0.08240723609924316
19,2024-05-19 04:26:50.165533,RequestStatus.DENOISING,1,1,0,0,0.046767473220825195
20,2024-05-19 04:26:50.211281,RequestStatus.DENOISING,1,1,0,0,0.04304957389831543
21,2024-05-19 04:26:50.317667,RequestStatus.DENOISING,1,1,0,0,0.0744333267211914
22,2024-05-19 04:26:50.353344,RequestStatus.DENOISING,1,1,0,0,0.05740046501159668
23,2024-05-19 04:26:50.398631,RequestStatus.DENOISING,1,1,0,0,0.04249262809753418
24,2024-05-19 04:26:50.514708,RequestStatus.DENOISING,1,1,0,0,0.06964278221130371
25,2024-05-19 04:26:50.537715,RequestStatus.DENOISING,1,1,0,0,0.06365442276000977
26,2024-05-19 04:26:50.588893,RequestStatus.DENOISING,1,1,0,0,0.04848361015319824
27,2024-05-19 04:26:50.723342,RequestStatus.DENOISING,1,1,0,0,0.06280899047851562
28,2024-05-19 04:26:50.732988,RequestStatus.DENOISING,1,1,0,0,0.06323814392089844
29,2024-05-19 04:26:50.780828,RequestStatus.DENOISING,1,1,0,0,0.05056190490722656
30,2024-05-19 04:26:50.913115,RequestStatus.DENOISING,1,1,0,0,0.04865264892578125
31,2024-05-19 04:26:50.921556,RequestStatus.DENOISING,1,1,0,0,0.07190513610839844
32,2024-05-19 04:26:50.963881,RequestStatus.DENOISING,1,1,0,0,0.044002532958984375
33,2024-05-19 04:26:51.012084,RequestStatus.DENOISING,1,1,0,0,0.04154372215270996
34,2024-05-19 04:26:51.116026,RequestStatus.DENOISING,1,1,0,0,0.07442808151245117
35,2024-05-19 04:26:51.153758,RequestStatus.DENOISING,1,1,0,0,0.056839704513549805
36,2024-05-19 04:26:51.202266,RequestStatus.DENOISING,1,1,0,0,0.04581427574157715
37,2024-05-19 04:26:51.318242,RequestStatus.DENOISING,1,1,0,0,0.06674480438232422
38,2024-05-19 04:26:51.340783,RequestStatus.DENOISING,1,1,0,0,0.06633615493774414
39,2024-05-19 04:26:51.388115,RequestStatus.DENOISING,1,1,0,0,0.04467582702636719
40,2024-05-19 04:26:51.514038,RequestStatus.DENOISING,1,1,0,0,0.050879716873168945
41,2024-05-19 04:26:51.524129,RequestStatus.DENOISING,1,1,0,0,0.07947325706481934
42,2024-05-19 04:26:51.572257,RequestStatus.DENOISING,1,1,0,0,0.04528450965881348
43,2024-05-19 04:26:51.708650,RequestStatus.DENOISING,1,1,0,0,0.05517411231994629
44,2024-05-19 04:26:51.718032,RequestStatus.DENOISING,1,1,0,0,0.07170772552490234
45,2024-05-19 04:26:51.763120,RequestStatus.DENOISING,1,1,0,0,0.04741358757019043
46,2024-05-19 04:26:51.900470,RequestStatus.DENOISING,1,1,0,0,0.045923471450805664
47,2024-05-19 04:26:51.909006,RequestStatus.DENOISING,1,1,0,0,0.07190561294555664
48,2024-05-19 04:26:51.951455,RequestStatus.DENOISING,1,1,0,0,0.043991804122924805
49,2024-05-19 04:26:51.996006,RequestStatus.DENOISING,1,1,0,0,0.041884422302246094
50,2024-05-19 04:26:52.132740,RequestStatus.DENOISING,1,1,0,0,0.06702256202697754
51,2024-05-19 04:26:52.142650,RequestStatus.DENOISING,1,1,0,0,0.07186532020568848
52,2024-05-19 04:26:52.188064,RequestStatus.DENOISING,1,1,0,0,0.042696237564086914
53,2024-05-19 04:26:52.476848,RequestStatus.DENOISING,1,1,0,0,0.050647735595703125
54,2024-05-19 04:26:52.944764,RequestStatus.DENOISING,1,1,0,0,0.23883557319641113
55,2024-05-19 04:26:53.175473,RequestStatus.DENOISING,1,0,0,1,0.2528378963470459
56,2024-05-19 04:26:53.232631,RequestStatus.DENOISING,1,0,0,1,0.058959007263183594
57,2024-05-19 04:26:53.370080,RequestStatus.DENOISING,1,0,0,1,0.06022953987121582
58,2024-05-19 04:26:53.383251,RequestStatus.DENOISING,1,0,0,1,0.0831136703491211
59,2024-05-19 04:26:53.444898,RequestStatus.DENOISING,1,0,0,1,0.05886673927307129
60,2024-05-19 04:26:53.595361,RequestStatus.DENOISING,1,0,0,1,0.06388545036315918
61,2024-05-19 04:26:53.601046,RequestStatus.DENOISING,1,0,0,1,0.07729339599609375
