request_id,is_finished,start_time,finish_time,time_consumption
238655072557367203713314613971928166680,True,2024-05-19 01:49:09.513174,2024-05-19 01:49:19.868066,10.354892253875732
285294358911999730289100182951983579772,True,2024-05-19 01:49:21.631400,2024-05-19 01:50:02.237008,40.605607748031616
139062387864620224740328082297137317936,True,2024-05-19 01:49:25.845845,2024-05-19 01:50:02.237008,36.39116334915161
255784050287296418302368522172992563022,True,2024-05-19 01:49:34.337959,2024-05-19 01:50:15.148121,40.81016230583191
14985714341214237295420968307469716063,True,2024-05-19 01:49:44.838578,2024-05-19 01:50:24.829996,39.99141836166382
304692660880982818438805093215820917064,True,2024-05-19 01:49:54.141027,2024-05-19 01:50:24.829996,30.688969373703003
181135236935239598307724285195005990556,True,2024-05-19 01:50:06.972355,2024-05-19 01:50:24.829996,17.857641220092773
207525717205831738474112166041615475178,True,2024-05-19 01:49:50.043317,2024-05-19 01:50:29.738868,39.69555115699768
270862534345756384779793084392171690575,True,2024-05-19 01:50:15.135151,2024-05-19 01:50:29.738868,14.60371732711792
176645830456881243635423684843749488392,True,2024-05-19 01:50:32.113303,2024-05-19 01:50:50.353532,18.2402286529541
394827678591570284642837321623628473,True,2024-05-19 01:50:38.987043,2024-05-19 01:50:50.353532,11.366488456726074
105323705099635878315786528201029159913,True,2024-05-19 01:50:52.870588,2024-05-19 01:51:02.666722,9.79613447189331
84241397018952899307448257485043121019,True,2024-05-19 01:51:09.551923,2024-05-19 01:51:18.962820,9.410897493362427
236741828722638773104602412299341228800,True,2024-05-19 01:51:27.581783,2024-05-19 01:51:48.207959,20.626176357269287
131155453265612397302928371268062564970,True,2024-05-19 01:51:37.265780,2024-05-19 01:51:48.857690,11.591910362243652
139245869606894855974872623865041474574,True,2024-05-19 01:51:53.428889,2024-05-19 01:52:11.879250,18.450361013412476
147556060123607815015803496457162198538,True,2024-05-19 01:52:01.671891,2024-05-19 01:52:11.879250,10.207359075546265
185077749627937594384072454286284046699,True,2024-05-19 01:52:18.747458,2024-05-19 01:52:37.683940,18.936482667922974
169222725919421589686386331568982492114,True,2024-05-19 01:52:26.986174,2024-05-19 01:52:37.964298,10.978123903274536
146300852175246409763772500243803642508,True,2024-05-19 01:52:38.445416,2024-05-19 01:52:48.112573,9.667157411575317
95927559350627862258760224903946199860,True,2024-05-19 01:52:54.439895,2024-05-19 01:53:11.713725,17.2738299369812
111397630506271266519285606399752245531,True,2024-05-19 01:53:01.433335,2024-05-19 01:53:11.713725,10.280389308929443
15422148598448302320590128981268761620,True,2024-05-19 01:53:13.124938,2024-05-19 01:53:24.287549,11.162611246109009
59481795238115633163502848041286313571,True,2024-05-19 01:53:27.079986,2024-05-19 01:53:54.749001,27.66901445388794
40159704874367668973209421233862397536,True,2024-05-19 01:53:32.314915,2024-05-19 01:53:55.623498,23.3085834980011
88360998498328224128336583844781033190,True,2024-05-19 01:53:40.746507,2024-05-19 01:53:55.623498,14.876991510391235
215777921514509699131899268816800198508,True,2024-05-19 01:53:57.940394,2024-05-19 01:54:37.847965,39.907570362091064
107099765172928331084090221498351469508,True,2024-05-19 01:54:02.484319,2024-05-19 01:54:45.439052,42.95473289489746
312515708333817219837120655109408637871,True,2024-05-19 01:54:08.960963,2024-05-19 01:54:45.439052,36.478089332580566
108373154544739206860040145489528982692,True,2024-05-19 01:54:22.693170,2024-05-19 01:54:46.979790,24.286620378494263
145001843486744166325067865287381160446,True,2024-05-19 01:54:33.869022,2024-05-19 01:54:47.545602,13.67658019065857
209219268519151696151777520786450821082,True,2024-05-19 01:54:49.544425,2024-05-19 01:55:31.699071,42.154645919799805
238360580792111581793269064671531751268,True,2024-05-19 01:54:53.657688,2024-05-19 01:55:31.699071,38.041383028030396
237196520846735049237806261161484251096,True,2024-05-19 01:55:02.333966,2024-05-19 01:55:31.699071,29.365105628967285
